H00;G00;G10;G20;G30;G40;G50;G60;L00;L10;L20;Bnd;M00;KW1
3.343;2.144;939;3.619;3.2;2.137;1.791;4.745;4.134;4.209;4.106;2.74;2.74;2.74
3.598;3.66;1.097;4.231;3.675;3.68;4.227;4.715;3.923;4.009;3.884;2.74;2.74;2.74
3.353;2.124;932;3.588;3.173;2.12;1.77;4.704;4.099;4.173;4.071;2.74;2.74;2.74
3.195;4.357;5.757;4.327;4.002;4.337;4.249;3.674;4.056;4.076;4.031;2.74;2.74;2.74
3.199;4.339;5.733;4.309;3.985;4.319;4.232;3.659;4.039;4.059;4.015;2.74;2.74;2.74
3.202;4.321;5.709;4.291;3.969;4.301;4.214;3.644;4.022;4.042;3.998;2.74;2.74;2.74
3.205;4.303;5.685;4.273;3.952;4.283;4.197;3.628;4.006;4.026;3.981;2.74;2.74;2.74
3.208;4.286;5.661;4.257;3.936;4.265;4.185;3.615;3.99;4.01;3.965;2.74;2.74;2.74
3.626;3.555;1.065;4.11;3.57;3.574;4.106;4.58;3.81;3.894;3.772;2.74;2.74;2.74
3.376;2.064;905;3.485;3.082;2.059;1.719;4.568;3.982;4.054;3.954;2.74;2.74;2.74
3.215;4.232;5.591;4.203;3.887;4.212;4.128;3.569;3.94;3.96;3.916;2.74;2.74;2.74
3.216;4.214;5.568;4.185;3.871;4.195;4.111;3.554;3.923;3.943;3.899;2.74;2.74;2.74
3.217;4.197;5.545;4.168;3.855;4.177;4.094;3.539;3.907;3.927;3.883;2.74;2.74;2.74
3.218;4.179;5.522;4.151;3.839;4.16;4.077;3.524;3.891;3.911;3.867;2.74;2.74;2.74
3.219;4.164;5.499;4.135;3.823;4.143;4.065;3.512;3.875;3.895;3.852;2.74;2.74;2.74
3.636;3.453;1.035;3.992;3.468;3.472;3.989;4.449;3.701;3.783;3.665;2.74;2.74;2.74
3.383;2.005;879;3.385;2.994;2;1.67;4.438;3.868;3.938;3.841;2.74;2.74;2.74
3.219;4.111;5.432;4.083;3.776;4.092;4.01;3.467;3.827;3.846;3.804;2.74;2.74;2.74
3.219;4.094;5.409;4.066;3.76;4.075;3.993;3.452;3.811;3.831;3.788;2.74;2.74;2.74
3.218;4.077;5.387;4.049;3.745;4.058;3.977;3.438;3.796;3.815;3.773;2.74;2.74;2.74
3.217;4.06;5.365;4.033;3.73;4.042;3.96;3.424;3.78;3.799;3.757;2.74;2.74;2.74
3.216;4.045;5.343;4.017;3.714;4.025;3.949;3.412;3.765;3.784;3.742;2.74;2.74;2.74
3.63;3.355;1.006;3.879;3.369;3.373;3.875;4.322;3.596;3.675;3.56;2.74;2.74;2.74
3.376;1.948;854;3.289;2.909;1.943;1.623;4.312;3.758;3.826;3.732;2.74;2.74;2.74
3.211;3.994;5.277;3.967;3.669;3.976;3.896;3.368;3.719;3.737;3.696;2.74;2.74;2.74
3.208;3.978;5.256;3.951;3.654;3.959;3.88;3.354;3.703;3.722;3.681;2.74;2.74;2.74
3.206;3.962;5.235;3.934;3.639;3.943;3.864;3.341;3.688;3.707;3.666;2.74;2.74;2.74
3.203;3.945;5.213;3.918;3.624;3.927;3.848;3.327;3.673;3.692;3.651;2.74;2.74;2.74
3.2;3.931;5.192;3.903;3.609;3.911;3.838;3.315;3.659;3.677;3.636;2.74;2.74;2.74
3.61;3.26;977;3.769;3.274;3.278;3.766;4.2;3.495;3.571;3.46;2.74;2.74;2.74
3.355;1.893;830;3.196;2.827;1.889;1.577;4.19;3.652;3.718;3.626;2.74;2.74;2.74
3.19;3.882;5.129;3.855;3.565;3.864;3.786;3.273;3.614;3.632;3.592;2.74;2.74;2.74
3.186;3.866;5.108;3.839;3.551;3.848;3.771;3.26;3.599;3.617;3.577;2.74;2.74;2.74
3.182;3.85;5.087;3.824;3.536;3.832;3.755;3.247;3.584;3.603;3.563;2.74;2.74;2.74
3.178;3.835;5.067;3.808;3.522;3.817;3.74;3.234;3.57;3.588;3.548;2.74;2.74;2.74
3.173;3.821;5.046;3.794;3.508;3.802;3.73;3.222;3.556;3.574;3.534;2.74;2.74;2.74
3.579;3.169;950;3.664;3.182;3.186;3.66;4.083;3.397;3.471;3.363;2.74;2.74;2.74
3.324;1.84;807;3.107;2.748;1.836;1.533;4.073;3.55;3.614;3.525;2.74;2.74;2.74
3.159;3.773;4.986;3.748;3.466;3.756;3.681;3.182;3.513;3.531;3.491;2.74;2.74;2.74
3.154;3.758;4.966;3.733;3.452;3.741;3.666;3.169;3.499;3.516;3.477;2.74;2.74;2.74
3.148;3.743;4.946;3.718;3.438;3.726;3.651;3.157;3.485;3.502;3.464;2.74;2.74;2.74
3.143;3.728;4.926;3.703;3.424;3.711;3.636;3.144;3.471;3.489;3.45;2.74;2.74;2.74
3.137;3.715;4.906;3.689;3.411;3.696;3.627;3.133;3.458;3.475;3.437;2.74;2.74;2.74
3.536;3.081;923;3.562;3.094;3.098;3.559;3.97;3.303;3.375;3.27;2.74;2.74;2.74
3.283;1.789;784;3.021;2.672;1.785;1.491;3.961;3.452;3.514;3.428;2.74;2.74;2.74
3.118;3.669;4.848;3.644;3.37;3.652;3.579;3.094;3.416;3.433;3.395;2.74;2.74;2.74
3.112;3.655;4.829;3.63;3.357;3.638;3.565;3.082;3.403;3.42;3.382;2.74;2.74;2.74
3.105;3.64;4.81;3.616;3.344;3.624;3.551;3.07;3.389;3.406;3.368;2.74;2.74;2.74
3.099;3.626;4.791;3.601;3.331;3.609;3.537;3.058;3.376;3.393;3.355;2.74;2.74;2.74
3.092;3.613;4.772;3.588;3.318;3.595;3.528;3.047;3.363;3.38;3.343;2.74;2.74;2.74
3.484;2.997;898;3.465;3.01;3.014;3.462;3.861;3.213;3.283;3.181;2.74;2.74;2.74
3.234;1.74;763;2.939;2.599;1.736;1.45;3.853;3.358;3.419;3.334;2.74;2.74;2.74
3.07;3.57;4.717;3.545;3.279;3.553;3.482;3.01;3.323;3.34;3.303;2.74;2.74;2.74
3.063;3.556;4.698;3.532;3.266;3.539;3.468;2.999;3.31;3.327;3.29;2.74;2.74;2.74
3.055;3.542;4.68;3.518;3.253;3.526;3.455;2.987;3.298;3.314;3.277;2.74;2.74;2.74
3.048;3.528;4.662;3.504;3.241;3.512;3.441;2.975;3.285;3.301;3.265;2.74;2.74;2.74
3.04;3.516;4.644;3.491;3.228;3.498;3.433;2.965;3.273;3.289;3.253;2.74;2.74;2.74
3.424;2.917;874;3.372;2.929;2.933;3.369;3.758;3.126;3.195;3.095;2.74;2.74;2.74
3.177;1.694;743;2.86;2.53;1.69;1.411;3.75;3.268;3.327;3.245;2.74;2.74;2.74
3.016;3.474;4.591;3.451;3.191;3.458;3.389;2.93;3.235;3.251;3.215;2.74;2.74;2.74
3.007;3.461;4.573;3.437;3.179;3.445;3.376;2.919;3.222;3.239;3.203;2.74;2.74;2.74
2.999;3.448;4.556;3.424;3.167;3.432;3.363;2.908;3.21;3.226;3.19;2.74;2.74;2.74
